row_id,zone,state,lga,period,live_births_count
199,South East,Abia,ab Bende Local Government Area,22-Jul,67
200,South East,Abia,ab Bende Local Government Area,22-Aug,86
201,South East,Abia,ab Bende Local Government Area,22-Sep,94
202,South East,Abia,ab Bende Local Government Area,22-Oct,92
203,South East,Abia,ab Bende Local Government Area,22-Nov,86
204,South East,Abia,ab Bende Local Government Area,22-Dec,67
205,South East,Abia,ab Bende Local Government Area,23-Jan,87
206,South East,Abia,ab Bende Local Government Area,23-Feb,64
207,South East,Abia,ab Bende Local Government Area,23-Mar,67
208,South East,Abia,ab Bende Local Government Area,23-Apr,95
209,South East,Abia,ab Bende Local Government Area,23-May,14
210,South East,Abia,ab Bende Local Government Area,23-Jun,98
211,South East,Abia,ab Bende Local Government Area,23-Jul,72
212,South East,Abia,ab Bende Local Government Area,23-Aug,68
213,South East,Abia,ab Bende Local Government Area,23-Sep,86
214,South East,Abia,ab Bende Local Government Area,23-Oct,70
215,South East,Abia,ab Bende Local Government Area,23-Nov,79
216,South East,Abia,ab Bende Local Government Area,23-Dec,74
217,South East,Abia,ab Bende Local Government Area,24-Jan,63
218,South East,Abia,ab Bende Local Government Area,24-Feb,56
219,South East,Abia,ab Bende Local Government Area,24-Mar,86
220,South East,Abia,ab Bende Local Government Area,24-Apr,81
221,South East,Abia,ab Bende Local Government Area,24-May,93
222,South East,Abia,ab Bende Local Government Area,24-Jun,75
223,South East,Abia,ab Bende Local Government Area,24-Jul,73
224,South East,Abia,ab Bende Local Government Area,24-Aug,88
225,South East,Abia,ab Bende Local Government Area,24-Sep,88
226,South East,Abia,ab Bende Local Government Area,24-Oct,86
227,South East,Abia,ab Bende Local Government Area,24-Nov,89
228,South East,Abia,ab Bende Local Government Area,24-Dec,58
229,South East,Abia,ab Bende Local Government Area,25-Jan,54
230,South East,Abia,ab Bende Local Government Area,25-Feb,69
231,South East,Abia,ab Bende Local Government Area,25-Mar,39
232,South East,Abia,ab Bende Local Government Area,25-Apr,96
233,South East,Abia,ab Bende Local Government Area,25-May,100
234,South East,Abia,ab Bende Local Government Area,25-Jun,105
235,South East,Abia,ab Bende Local Government Area,25-Jul,80
236,South East,Abia,ab Bende Local Government Area,25-Aug,82
237,South East,Abia,ab Bende Local Government Area,25-Sep,115
238,South East,Abia,ab Bende Local Government Area,25-Oct,106
239,South East,Abia,ab Bende Local Government Area,25-Nov,88
240,South East,Abia,ab Bende Local Government Area,25-Dec,97
241,South East,Abia,ab Ikwuano Local Government Area,21-Jan,10
242,South East,Abia,ab Ikwuano Local Government Area,21-Feb,25
243,South East,Abia,ab Ikwuano Local Government Area,21-Mar,20
244,South East,Abia,ab Ikwuano Local Government Area,21-Apr,31
245,South East,Abia,ab Ikwuano Local Government Area,21-May,29
246,South East,Abia,ab Ikwuano Local Government Area,21-Jun,26
247,South East,Abia,ab Ikwuano Local Government Area,21-Jul,21
248,South East,Abia,ab Ikwuano Local Government Area,21-Aug,41
249,South East,Abia,ab Ikwuano Local Government Area,21-Sep,32
250,South East,Abia,ab Ikwuano Local Government Area,21-Oct,40
